Date,Open,High,Low,Close,Adj Close,Volume
2015-03-03,,,,,,
2015-03-04,,,,,,
2015-03-05,,,,,,
2015-03-06,,,,,,
2015-03-07,,,,,,
2015-03-08,,,,,,
2015-03-09,,,,,,
2015-03-10,,,,,,
2015-03-11,,,,,,
2015-03-12,,,,,,
2015-03-13,,,,,,
2015-03-14,,,,,,
2015-03-15,,,,,,
2015-03-16,,,,,,
2015-03-17,,,,,,
2015-03-18,,,,,,
2015-03-19,,,,,,
2015-03-20,,,,,,
2015-03-21,,,,,,
2015-03-22,,,,,,
2015-03-23,,,,,,
2015-03-24,,,,,,
2015-03-25,,,,,,
2015-03-26,,,,,,
2015-03-27,,,,,,
2015-03-28,,,,,,
2015-03-29,,,,,,
2015-03-30,,,,,,
2015-03-31,,,,,,
2015-04-01,,,,,,
2015-04-02,,,,,,
2015-04-03,,,,,,
2015-04-04,,,,,,
2015-04-05,,,,,,
2015-04-06,,,,,,
2015-04-07,,,,,,
2015-04-08,,,,,,
2015-04-09,,,,,,
2015-04-10,,,,,,
2015-04-11,,,,,,
2015-04-12,,,,,,
2015-04-13,,,,,,
2015-04-14,,,,,,
2015-04-15,,,,,,
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-18,,,,,,
2015-04-19,,,,,,
2015-04-20,,,,,,
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,,,,
2015-04-24,,,,,,
2015-04-25,,,,,,
2015-04-26,,,,,,
2015-04-27,,,,,,
2015-04-28,,,,,,
2015-04-29,,,,,,
2015-04-30,,,,,,
2015-05-01,,,,,,
2015-05-02,,,,,,
2015-05-03,,,,,,
2015-05-04,,,,,,
2015-05-05,,,,,,
2015-05-06,,,,,,
2015-05-07,,,,,,
2015-05-08,,,,,,
2015-05-09,,,,,,
2015-05-10,,,,,,
2015-05-11,,,,,,
2015-05-12,,,,,,
2015-05-13,,,,,,
2015-05-14,,,,,,
2015-05-15,,,,,,
2015-05-16,,,,,,
2015-05-17,,,,,,
2015-05-18,,,,,,
2015-05-19,,,,,,
2015-05-20,,,,,,
2015-05-21,,,,,,
2015-05-22,,,,,,
2015-05-23,,,,,,
2015-05-24,,,,,,
2015-05-25,,,,,,
2015-05-26,,,,,,
2015-05-27,,,,,,
2015-05-28,,,,,,
2015-05-29,,,,,,
2015-05-30,,,,,,
2015-05-31,,,,,,
2015-06-01,,,,,,
2015-06-02,,,,,,
2015-06-03,,,,,,
2015-06-04,,,,,,
2015-06-05,,,,,,
2015-06-06,,,,,,
2015-06-07,,,,,,
2015-06-08,,,,,,
2015-06-09,,,,,,
2015-06-10,,,,,,
2015-06-11,,,,,,
2015-06-12,,,,,,
2015-06-13,,,,,,
2015-06-14,,,,,,
2015-06-15,,,,,,
2015-06-16,,,,,,
2015-06-17,,,,,,
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-20,,,,,,
2015-06-21,,,,,,
2015-06-22,,,,,,
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-27,,,,,,
2015-06-28,,,,,,
2015-06-29,,,,,,
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-04,,,,,,
2015-07-05,,,,,,
2015-07-06,,,,,,
2015-07-07,,,,,,
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,,,,,,
2015-07-11,,,,,,
2015-07-12,,,,,,
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-18,,,,,,
2015-07-19,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-25,,,,,,
2015-07-26,,,,,,
2015-07-27,,,,,,
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-01,,,,,,
2015-08-02,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-08,,,,,,
2015-08-09,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,,,,,,
2015-08-13,,,,,,
2015-08-14,,,,,,
2015-08-15,,,,,,
2015-08-16,,,,,,
2015-08-17,,,,,,
2015-08-18,,,,,,
2015-08-19,,,,,,
2015-08-20,,,,,,
2015-08-21,,,,,,
2015-08-22,,,,,,
2015-08-23,,,,,,
2015-08-24,,,,,,
2015-08-25,,,,,,
2015-08-26,,,,,,
2015-08-27,,,,,,
2015-08-28,,,,,,
2015-08-29,,,,,,
2015-08-30,,,,,,
2015-08-31,,,,,,
2015-09-01,,,,,,
2015-09-02,,,,,,
2015-09-03,,,,,,
2015-09-04,,,,,,
2015-09-05,,,,,,
2015-09-06,,,,,,
2015-09-07,,,,,,
2015-09-08,,,,,,
2015-09-09,,,,,,
2015-09-10,,,,,,
2015-09-11,,,,,,
2015-09-12,,,,,,
2015-09-13,,,,,,
2015-09-14,,,,,,
2015-09-15,,,,,,
2015-09-16,,,,,,
2015-09-17,,,,,,
2015-09-18,,,,,,
2015-09-19,,,,,,
2015-09-20,,,,,,
2015-09-21,,,,,,
2015-09-22,,,,,,
2015-09-23,,,,,,
2015-09-24,,,,,,
2015-09-25,,,,,,
2015-09-26,,,,,,
2015-09-27,,,,,,
2015-09-28,,,,,,
2015-09-29,,,,,,
2015-09-30,,,,,,
2015-10-01,,,,,,
2015-10-02,,,,,,
2015-10-03,,,,,,
2015-10-04,,,,,,
2015-10-05,,,,,,
2015-10-06,,,,,,
2015-10-07,,,,,,
2015-10-08,,,,,,
2015-10-09,,,,,,
2015-10-10,,,,,,
2015-10-11,,,,,,
2015-10-12,,,,,,
2015-10-13,,,,,,
2015-10-14,,,,,,
2015-10-15,,,,,,
2015-10-16,,,,,,
2015-10-17,,,,,,
2015-10-18,,,,,,
2015-10-19,,,,,,
2015-10-20,,,,,,
2015-10-21,,,,,,
2015-10-22,,,,,,
2015-10-23,,,,,,
2015-10-24,,,,,,
2015-10-25,,,,,,
2015-10-26,,,,,,
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-10-30,,,,,,
2015-10-31,,,,,,
2015-11-01,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,,,,,,
2015-11-05,,,,,,
2015-11-06,,,,,,
2015-11-07,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-13,,,,,,
2015-11-14,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-20,,,,,,
2015-11-21,,,,,,
2015-11-22,,,,,,
2015-11-23,,,,,,
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-27,,,,,,
2015-11-28,,,,,,
2015-11-29,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-04,,,,,,
2015-12-05,,,,,,
2015-12-06,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-11,,,,,,
2015-12-12,,,,,,
2015-12-13,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-18,,,,,,
2015-12-19,,,,,,
2015-12-20,,,,,,
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,,,,,,
2015-12-24,,,,,,
2015-12-25,,,,,,
2015-12-26,,,,,,
2015-12-27,,,,,,
2015-12-28,,,,,,
2015-12-29,,,,,,
2015-12-30,,,,,,
2015-12-31,,,,,,
2016-01-01,,,,,,
2016-01-02,,,,,,
2016-01-03,,,,,,
2016-01-04,,,,,,
2016-01-05,,,,,,
2016-01-06,,,,,,
2016-01-07,,,,,,
2016-01-08,,,,,,
2016-01-09,,,,,,
2016-01-10,,,,,,
2016-01-11,,,,,,
2016-01-12,,,,,,
2016-01-13,,,,,,
2016-01-14,,,,,,
2016-01-15,,,,,,
2016-01-16,,,,,,
2016-01-17,,,,,,
2016-01-18,,,,,,
2016-01-19,,,,,,
2016-01-20,,,,,,
2016-01-21,,,,,,
2016-01-22,,,,,,
2016-01-23,,,,,,
2016-01-24,,,,,,
2016-01-25,,,,,,
2016-01-26,,,,,,
2016-01-27,,,,,,
2016-01-28,,,,,,
2016-01-29,,,,,,
2016-01-30,,,,,,
2016-01-31,,,,,,
2016-02-01,,,,,,
2016-02-02,,,,,,
2016-02-03,,,,,,
2016-02-04,,,,,,
2016-02-05,,,,,,
2016-02-06,,,,,,
2016-02-07,,,,,,
2016-02-08,,,,,,
2016-02-09,,,,,,
2016-02-10,,,,,,
2016-02-11,,,,,,
2016-02-12,,,,,,
2016-02-13,,,,,,
2016-02-14,,,,,,
2016-02-15,,,,,,
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,,,,,,
2016-02-19,,,,,,
2016-02-20,,,,,,
2016-02-21,,,,,,
2016-02-22,,,,,,
2016-02-23,,,,,,
2016-02-24,,,,,,
2016-02-25,,,,,,
2016-02-26,,,,,,
2016-02-27,,,,,,
2016-02-28,,,,,,
2016-02-29,,,,,,
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,,,,,,
2016-03-04,,,,,,
2016-03-05,,,,,,
2016-03-06,,,,,,
2016-03-07,,,,,,
2016-03-08,,,,,,
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-11,,,,,,
2016-03-12,,,,,,
2016-03-13,,,,,,
2016-03-14,,,,,,
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-18,,,,,,
2016-03-19,,,,,,
2016-03-20,,,,,,
2016-03-21,,,,,,
2016-03-22,,,,,,
2016-03-23,,,,,,
2016-03-24,,,,,,
2016-03-25,,,,,,
2016-03-26,,,,,,
2016-03-27,,,,,,
2016-03-28,,,,,,
2016-03-29,,,,,,
2016-03-30,,,,,,
2016-03-31,,,,,,
2016-04-01,,,,,,
2016-04-02,,,,,,
2016-04-03,,,,,,
2016-04-04,,,,,,
2016-04-05,,,,,,
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,,,,,,
2016-04-09,,,,,,
2016-04-10,,,,,,
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-14,,,,,,
2016-04-15,,,,,,
2016-04-16,,,,,,
2016-04-17,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-23,,,,,,
2016-04-24,,,,,,
2016-04-25,,,,,,
2016-04-26,,,,,,
2016-04-27,,,,,,
2016-04-28,,,,,,
2016-04-29,,,,,,
2016-04-30,,,,,,
2016-05-01,,,,,,
2016-05-02,,,,,,
2016-05-03,,,,,,
2016-05-04,,,,,,
2016-05-05,,,,,,
2016-05-06,,,,,,
2016-05-07,,,,,,
2016-05-08,,,,,,
2016-05-09,,,,,,
2016-05-10,,,,,,
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-14,,,,,,
2016-05-15,,,,,,
2016-05-16,,,,,,
2016-05-17,,,,,,
2016-05-18,,,,,,
2016-05-19,,,,,,
2016-05-20,,,,,,
2016-05-21,,,,,,
2016-05-22,,,,,,
2016-05-23,,,,,,
2016-05-24,,,,,,
2016-05-25,,,,,,
2016-05-26,,,,,,
2016-05-27,,,,,,
2016-05-28,,,,,,
2016-05-29,,,,,,
2016-05-30,,,,,,
2016-05-31,,,,,,
2016-06-01,,,,,,
2016-06-02,,,,,,
2016-06-03,,,,,,
2016-06-04,,,,,,
2016-06-05,,,,,,
2016-06-06,,,,,,
2016-06-07,,,,,,
2016-06-08,,,,,,
2016-06-09,,,,,,
2016-06-10,,,,,,
2016-06-11,,,,,,
2016-06-12,,,,,,
2016-06-13,,,,,,
2016-06-14,,,,,,
2016-06-15,,,,,,
2016-06-16,,,,,,
2016-06-17,,,,,,
2016-06-18,,,,,,
2016-06-19,,,,,,
2016-06-20,,,,,,
2016-06-21,,,,,,
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-25,,,,,,
2016-06-26,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,,,,,,
2016-07-01,,,,,,
2016-07-02,,,,,,
2016-07-03,,,,,,
2016-07-04,,,,,,
2016-07-05,,,,,,
2016-07-06,,,,,,
2016-07-07,,,,,,
2016-07-08,,,,,,
2016-07-09,,,,,,
2016-07-10,,,,,,
2016-07-11,,,,,,
2016-07-12,,,,,,
2016-07-13,,,,,,
2016-07-14,,,,,,
2016-07-15,,,,,,
2016-07-16,,,,,,
2016-07-17,,,,,,
2016-07-18,,,,,,
2016-07-19,,,,,,
2016-07-20,,,,,,
2016-07-21,,,,,,
2016-07-22,,,,,,
2016-07-23,,,,,,
2016-07-24,,,,,,
2016-07-25,,,,,,
2016-07-26,,,,,,
2016-07-27,,,,,,
2016-07-28,,,,,,
2016-07-29,,,,,,
2016-07-30,,,,,,
2016-07-31,,,,,,
2016-08-01,,,,,,
2016-08-02,,,,,,
2016-08-03,,,,,,
2016-08-04,,,,,,
2016-08-05,,,,,,
2016-08-06,,,,,,
2016-08-07,,,,,,
2016-08-08,,,,,,
2016-08-09,,,,,,
2016-08-10,,,,,,
2016-08-11,,,,,,
2016-08-12,,,,,,
2016-08-13,,,,,,
2016-08-14,,,,,,
2016-08-15,,,,,,
2016-08-16,,,,,,
2016-08-17,,,,,,
2016-08-18,,,,,,
2016-08-19,,,,,,
2016-08-20,,,,,,
2016-08-21,,,,,,
2016-08-22,,,,,,
2016-08-23,,,,,,
2016-08-24,,,,,,
2016-08-25,,,,,,
2016-08-26,,,,,,
2016-08-27,,,,,,
2016-08-28,,,,,,
2016-08-29,,,,,,
2016-08-30,,,,,,
2016-08-31,,,,,,
2016-09-01,,,,,,
2016-09-02,,,,,,
2016-09-03,,,,,,
2016-09-04,,,,,,
2016-09-05,,,,,,
2016-09-06,,,,,,
2016-09-07,,,,,,
2016-09-08,,,,,,
2016-09-09,,,,,,
2016-09-10,,,,,,
2016-09-11,,,,,,
2016-09-12,,,,,,
2016-09-13,,,,,,
2016-09-14,,,,,,
2016-09-15,,,,,,
2016-09-16,,,,,,
2016-09-17,,,,,,
2016-09-18,,,,,,
2016-09-19,,,,,,
2016-09-20,,,,,,
2016-09-21,,,,,,
2016-09-22,,,,,,
2016-09-23,,,,,,
2016-09-24,,,,,,
2016-09-25,,,,,,
2016-09-26,,,,,,
2016-09-27,,,,,,
2016-09-28,,,,,,
2016-09-29,,,,,,
2016-09-30,,,,,,
2016-10-01,,,,,,
2016-10-02,,,,,,
2016-10-03,,,,,,
2016-10-04,,,,,,
2016-10-05,,,,,,
2016-10-06,,,,,,
2016-10-07,,,,,,
2016-10-08,,,,,,
2016-10-09,,,,,,
2016-10-10,,,,,,
2016-10-11,,,,,,
2016-10-12,,,,,,
2016-10-13,,,,,,
2016-10-14,,,,,,
2016-10-15,,,,,,
2016-10-16,,,,,,
2016-10-17,,,,,,
2016-10-18,,,,,,
2016-10-19,,,,,,
2016-10-20,,,,,,
2016-10-21,,,,,,
2016-10-22,,,,,,
2016-10-23,,,,,,
2016-10-24,,,,,,
2016-10-25,,,,,,
2016-10-26,,,,,,
2016-10-27,,,,,,
2016-10-28,,,,,,
2016-10-29,,,,,,
2016-10-30,,,,,,
2016-10-31,,,,,,
2016-11-01,,,,,,
2016-11-02,,,,,,
2016-11-03,,,,,,
2016-11-04,,,,,,
2016-11-05,,,,,,
2016-11-06,,,,,,
2016-11-07,,,,,,
2016-11-08,,,,,,
2016-11-09,,,,,,
2016-11-10,,,,,,
2016-11-11,,,,,,
2016-11-12,,,,,,
2016-11-13,,,,,,
2016-11-14,,,,,,
2016-11-15,,,,,,
2016-11-16,,,,,,
2016-11-17,,,,,,
2016-11-18,,,,,,
2016-11-19,,,,,,
2016-11-20,,,,,,
2016-11-21,,,,,,
2016-11-22,,,,,,
2016-11-23,,,,,,
2016-11-24,,,,,,
2016-11-25,,,,,,
2016-11-26,,,,,,
2016-11-27,,,,,,
2016-11-28,,,,,,
2016-11-29,,,,,,
2016-11-30,,,,,,
2016-12-01,,,,,,
2016-12-02,,,,,,
2016-12-03,,,,,,
2016-12-04,,,,,,
2016-12-05,,,,,,
2016-12-06,,,,,,
2016-12-07,,,,,,
2016-12-08,,,,,,
2016-12-09,,,,,,
2016-12-10,,,,,,
2016-12-11,,,,,,
2016-12-12,,,,,,
2016-12-13,,,,,,
2016-12-14,,,,,,
2016-12-15,,,,,,
2016-12-16,,,,,,
2016-12-17,,,,,,
2016-12-18,,,,,,
2016-12-19,,,,,,
2016-12-20,,,,,,
2016-12-21,,,,,,
2016-12-22,,,,,,
2016-12-23,,,,,,
2016-12-24,,,,,,
2016-12-25,,,,,,
2016-12-26,,,,,,
2016-12-27,,,,,,
2016-12-28,,,,,,
2016-12-29,,,,,,
2016-12-30,,,,,,
2016-12-31,,,,,,
2017-01-01,,,,,,
2017-01-02,,,,,,
2017-01-03,,,,,,
2017-01-04,,,,,,
2017-01-05,,,,,,
2017-01-06,,,,,,
2017-01-07,,,,,,
2017-01-08,,,,,,
2017-01-09,,,,,,
2017-01-10,,,,,,
2017-01-11,,,,,,
2017-01-12,,,,,,
2017-01-13,,,,,,
2017-01-14,,,,,,
2017-01-15,,,,,,
2017-01-16,,,,,,
2017-01-17,,,,,,
2017-01-18,,,,,,
2017-01-19,,,,,,
2017-01-20,,,,,,
2017-01-21,,,,,,
2017-01-22,,,,,,
2017-01-23,,,,,,
2017-01-24,,,,,,
2017-01-25,,,,,,
2017-01-26,,,,,,
2017-01-27,,,,,,
2017-01-28,,,,,,
2017-01-29,,,,,,
2017-01-30,,,,,,
2017-01-31,,,,,,
2017-02-01,,,,,,
2017-02-02,,,,,,
2017-02-03,,,,,,
2017-02-04,,,,,,
2017-02-05,,,,,,
2017-02-06,,,,,,
2017-02-07,,,,,,
2017-02-08,,,,,,
2017-02-09,,,,,,
2017-02-10,,,,,,
2017-02-11,,,,,,
2017-02-12,,,,,,
2017-02-13,,,,,,
2017-02-14,,,,,,
2017-02-15,,,,,,
2017-02-16,,,,,,
2017-02-17,,,,,,
2017-02-18,,,,,,
2017-02-19,,,,,,
2017-02-20,,,,,,
2017-02-21,,,,,,
2017-02-22,,,,,,
2017-02-23,,,,,,
2017-02-24,,,,,,
2017-02-25,,,,,,
2017-02-26,,,,,,
2017-02-27,,,,,,
2017-02-28,,,,,,
2017-03-01,,,,,,
2017-03-02,,,,,,
2017-03-03,,,,,,
2017-03-04,,,,,,
2017-03-05,,,,,,
2017-03-06,,,,,,
2017-03-07,,,,,,
2017-03-08,,,,,,
2017-03-09,,,,,,
2017-03-10,,,,,,
2017-03-11,,,,,,
2017-03-12,,,,,,
2017-03-13,,,,,,
2017-03-14,,,,,,
2017-03-15,,,,,,
2017-03-16,,,,,,
2017-03-17,,,,,,
2017-03-18,,,,,,
2017-03-19,,,,,,
2017-03-20,,,,,,
2017-03-21,,,,,,
2017-03-22,,,,,,
2017-03-23,,,,,,
2017-03-24,,,,,,
2017-03-25,,,,,,
2017-03-26,,,,,,
2017-03-27,,,,,,
2017-03-28,,,,,,
2017-03-29,,,,,,
2017-03-30,,,,,,
2017-03-31,,,,,,
2017-04-01,,,,,,
2017-04-02,,,,,,
2017-04-03,,,,,,
2017-04-04,,,,,,
2017-04-05,,,,,,
2017-04-06,,,,,,
2017-04-07,,,,,,
2017-04-08,,,,,,
2017-04-09,,,,,,
2017-04-10,,,,,,
2017-04-11,,,,,,
2017-04-12,,,,,,
2017-04-13,,,,,,
2017-04-14,,,,,,
2017-04-15,,,,,,
2017-04-16,,,,,,
2017-04-17,,,,,,
2017-04-18,,,,,,
2017-04-19,,,,,,
2017-04-20,,,,,,
2017-04-21,,,,,,
2017-04-22,,,,,,
2017-04-23,,,,,,
2017-04-24,,,,,,
2017-04-25,,,,,,
2017-04-26,,,,,,
2017-04-27,,,,,,
2017-04-28,,,,,,
2017-04-29,,,,,,
2017-04-30,,,,,,
2017-05-01,,,,,,
2017-05-02,,,,,,
2017-05-03,,,,,,
2017-05-04,,,,,,
2017-05-05,,,,,,
2017-05-06,,,,,,
2017-05-07,,,,,,
2017-05-08,,,,,,
2017-05-09,,,,,,
2017-05-10,,,,,,
2017-05-11,,,,,,
2017-05-12,,,,,,
2017-05-13,,,,,,
2017-05-14,,,,,,
2017-05-15,,,,,,
2017-05-16,,,,,,
2017-05-17,,,,,,
2017-05-18,,,,,,
2017-05-19,,,,,,
2017-05-20,,,,,,
2017-05-21,,,,,,
2017-05-22,,,,,,
2017-05-23,,,,,,
2017-05-24,,,,,,
2017-05-25,,,,,,
2017-05-26,,,,,,
2017-05-27,,,,,,
2017-05-28,,,,,,
2017-05-29,,,,,,
2017-05-30,,,,,,
2017-05-31,,,,,,
2017-06-01,0.16822999715805054,0.1753389984369278,0.14619700610637665,0.1710360050201416,0.1710360050201416,4373940.0
2017-06-02,0.17118600010871887,0.1712380051612854,0.1535400003194809,0.1565759927034378,0.1565759927034378,3121920.0
2017-06-03,0.15653400123119354,0.18510699272155762,0.15469199419021606,0.16604900360107422,0.16604900360107422,4738010.0
2017-06-04,0.1659799963235855,0.35242998600006104,0.16485700011253357,0.28554201126098633,0.28554201126098633,27578300.0
2017-06-05,0.2850230038166046,0.329910010099411,0.26975199580192566,0.29166099429130554,0.29166099429130554,14297400.0
2017-06-06,0.2916490137577057,0.3066740036010742,0.254038006067276,0.26006200909614563,0.26006200909614563,10708800.0
2017-06-07,0.25921300053596497,0.28070399165153503,0.22832399606704712,0.23859000205993652,0.23859000205993652,11149700.0
2017-06-08,0.23928500711917877,0.2564750015735626,0.21386900544166565,0.22321699559688568,0.22321699559688568,8890730.0
2017-06-09,0.2221039980649948,0.23907199501991272,0.2165990024805069,0.2250799983739853,0.2250799983739853,5996870.0
2017-06-10,0.2248069941997528,0.23243699967861176,0.19422799348831177,0.1970209926366806,0.1970209926366806,8265660.0
2017-06-11,0.19544300436973572,0.20548899471759796,0.1765500009059906,0.18222899734973907,0.18222899734973907,6837190.0
2017-06-12,0.1823209971189499,0.21265900135040283,0.15226399898529053,0.18279799818992615,0.18279799818992615,7175260.0
2017-06-13,0.18294000625610352,0.2012999951839447,0.17449699342250824,0.19453799724578857,0.19453799724578857,5539180.0
2017-06-14,0.19374500215053558,0.19708600640296936,0.16263499855995178,0.1693830043077469,0.1693830043077469,3766080.0
2017-06-15,0.17014500498771667,0.2181980013847351,0.14495399594306946,0.2154349982738495,0.2154349982738495,6576040.0
2017-06-16,0.21251200139522552,0.2460010051727295,0.18637299537658691,0.2327750027179718,0.2327750027179718,12209000.0
2017-06-17,0.23173099756240845,0.23173099756240845,0.2062550038099289,0.20839999616146088,0.20839999616146088,5614210.0
2017-06-18,0.21006399393081665,0.2129479944705963,0.1948080062866211,0.19748200476169586,0.19748200476169586,2829350.0
2017-06-19,0.19791699945926666,0.20294299721717834,0.18014700710773468,0.181101992726326,0.181101992726326,5328250.0
